relative_path,extension,bytes,sha256,width_px,height_px,format
reports/image/contract__beamforming-precoding-mimo-massive-mimo__condition-number-distribution.png,.png,21161,09ac7d70d92c89a6d15f48f3f97f63f9d043765e5ec6dd82a24127ceeb6c22f0,1100,620,PNG
reports/image/contract__beamforming-precoding-mimo-massive-mimo__mu-grouping-summary.png,.png,26318,a06a99dbe2c3aee67bfc10f59870aeeb84049598cf952c53539178b3f2bc25cc,1100,620,PNG
reports/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png,.png,30257,b2dc4414afb2423250cdc009654a89198c0210f115efcb165d98a6adf0185528,1100,620,PNG
reports/image/contract__channel-interference-impairments__cfo-true-vs-estimated-vs-residual.png,.png,57576,95b752693410e0bf960b6a698e8582d2b03b66cacdd8ec50abe4a255489ecd7c,1180,700,PNG
reports/image/contract__channel-interference-impairments__channel-quality-timeline.png,.png,36713,6d8ea92c4bb516dc8fc0bd463416c4dfa4aa53e712f1a137a9123dfbf226e2c0,1100,620,PNG
reports/image/contract__channel-interference-impairments__interference-power-timeline.png,.png,33055,f67ead532baf8a8a57759924736ab193ae012ff74871ad3fe8fa05e0cc6aae78,1100,620,PNG
reports/image/contract__channel-interference-impairments__timing-offset-true-vs-estimated-vs-residual.png,.png,33611,7c78af64df264b367bce6211dc0063bf7a93e69ded54df18b8ee58f27f222f36,1100,620,PNG
reports/image/contract__csi-rs__csi-rs-resource-occupancy.png,.png,47370,ae571ea6d06dc1aa0ad1dbb69d1b1add547563d58f23448478d3ebc78d0c0b5c,1180,760,PNG
reports/image/contract__csi-rs__port-usage-chart.png,.png,35834,b3d3e06be7d323b9d443cf446848c44cab1d63223eae4324dfa4cf326968c283,1100,620,PNG
reports/image/contract__generic-investigator-views__config-vs-measured-conflict-dashboard.png,.png,30619,ce19a3953f43f943d3d615c34ae3219ca43e0cd7638ea017253f9b5bbeb6a65c,1100,620,PNG
reports/image/contract__generic-investigator-views__partial-or-missing-data-dashboard.png,.png,28017,66948738233dab74653959284b03011e8da37eb964fc1306a09fe32cfc153ef1,1100,620,PNG
reports/image/contract__generic-investigator-views__value-semantics-coverage-chart.png,.png,28959,f850001ad9a17029e0fc4e0c025b34edabcd92b8dee551c9cd38b159c76b2e7c,1100,620,PNG
reports/image/contract__geometry-mobility-validation__measured-sinr-vs-slot.png,.png,31186,7f965657e82f03f7ffb6d401b24dcfd02f422043c0d8458a0ff5915e6dc98bee,1100,620,PNG
reports/image/contract__measurements-csi-link-adaptation-inputs__applied-vs-measured-runtime-snr-sinr-comparison.png,.png,46963,448b459a39cb7bab92c01e2a54f4de24b99ef5111a1cc6ae3eab31322410ed90,1180,700,PNG
reports/image/contract__measurements-csi-link-adaptation-inputs__config-vs-measured-conflict-dashboard.png,.png,30955,a5bffc315bf57ad6618abf0bcb580592931e7d1c332a0679d6c61c516d3290cf,1100,620,PNG
reports/image/contract__measurements-csi-link-adaptation-inputs__cqi-pmi-ri-cri-timeline.png,.png,37500,e928308e3a524b5cfe1e919ab203cb7b4fefddf370550940185f702fcbcb8e94,1100,620,PNG
reports/image/contract__measurements-csi-link-adaptation-inputs__measurement-source-coverage-chart.png,.png,29493,381940849263fe9f65d5984dc54ba21906cbf9bf15e9821ee8aa4d982f3d911b,1100,620,PNG
reports/image/contract__pdsch-dl-data-chain__code-block-count-histogram.png,.png,26241,c060cb14c21ec4160f02ad8d142fc7f9c525008def62cae8e273c525303d7b96,1100,620,PNG
reports/image/contract__pdsch-dl-data-chain__dl-resource-grid-heatmap.png,.png,38137,4b07cef93a9c370047d6b9a4932fcd21878b678d3afa9fd4da290d825b1d29a7,1180,760,PNG
reports/image/contract__pdsch-dl-data-chain__dmrs-ptrs-occupancy-plot.png,.png,32915,3e0477325daa9d00e2a85000358380d205b4ae43d056f3dc52c4f896764051be,1100,620,PNG
reports/image/contract__pdsch-dl-data-chain__mcs-code-rate-timeline.png,.png,28417,c35873b0e38ead939d4baf089631f066b97d5f58f26680210475ddea986abd6b,1100,620,PNG
reports/image/contract__pdsch-dl-data-chain__precoder-beam-selection-timeline.png,.png,37972,e0e3dbf3ce20e6bdc875770d5f6f7bb31e13a27f22c6af0f36a00844ad62debd,1100,620,PNG
reports/image/contract__pdsch-dl-data-chain__tb-size-over-time.png,.png,28297,3b841e1a01851a98732462f79c99904cac1fb8e10e8eaf067cf4314439720c35,1100,620,PNG
reports/image/contract__persistence-export-consistency-browser-health__consistency-failure-trend.png,.png,29940,537010d296961a70995e3344cf4cf285ec72b0c7abf6bcddca4ad0e17b1c34ed,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__efficiency-scatter-plots.png,.png,26895,1d376b36f2e6bc7424430323d66e00fadc01f569bc4249b64413dfbca9d1eec0,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__energy-per-bit-over-time.png,.png,32081,2e9f66def527621a0820aaa7404c1710c292a73150c3da08d8516144f182668d,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__joules-gb-over-time.png,.png,31051,09f1036807003d4e46c20fe8d64d837b3d97766e649635aec930a4186dda20ba,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__papr-distribution.png,.png,24130,fa45c0829ce0a8724a3c4e50d0bac29d663183b7d4e9b7851970b2360ae4449d,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__power-vs-throughput.png,.png,27592,1d1f7fe957b633fbe1b0bef717e01b593557369efe944883b42a20512dc4fc6f,1100,620,PNG
reports/image/contract__power-energy-thermal-compute-runtime__sleep-state-timeline.png,.png,37884,73bc96e87f2f36cc50bdf28758871cbb23cb86699d6d277b254953f4f070d5db,1100,620,PNG
reports/image/contract__prach-random-access__access-attempt-success-timeline.png,.png,30334,c9c6c812164d80e446dc7df08efa6df8092e9f81b1da968d8b172f9c7b234edc,1100,620,PNG
reports/image/contract__prach-random-access__preamble-usage-chart.png,.png,27044,50c09751c0dce28256e336190356a269d8b859265ca154af4c7043c429323e9a,1100,620,PNG
reports/image/contract__prach-random-access__ta-estimate-trend.png,.png,26607,a0693af7fa26ca84f11b69b7f447f5e0683baec205999796935c29d9eb2c7b74,1100,620,PNG
reports/image/contract__pusch-ul-data-chain__decoder-iteration-histogram.png,.png,26822,e78f81a0c47442feaf86cdef0845fdd8c6313f5b54f2c63f27974676ed5a621c,1100,620,PNG
reports/image/contract__pusch-ul-data-chain__llr-statistics-over-time.png,.png,30788,f53dd130a3e1a83f47d268be94fd3fe82245df3868a629b7c26fcf68071c0107,1100,620,PNG
reports/image/contract__pusch-ul-data-chain__ta-estimate-timeline.png,.png,26799,3be18f08a313dc1f685f7df33e7147a33935b3005ceca598cc552e9cde9d2f4b,1100,620,PNG
reports/image/contract__pusch-ul-data-chain__ul-resource-grid-equalized-symbol-summaries.png,.png,44482,8b5b3ec56be311527fc2536c504b104b85be4e9b0240fcfde26424dc481365c7,1180,760,PNG
reports/image/contract__run-trial-scenario-overview__required-vs-failed-case-bar-chart.png,.png,27495,edf9862bceb549895d5bc3ebb57850db68c6888a1492c14d911585d1a56fbccc,1100,620,PNG
reports/image/contract__scenario-geometry-topology-layout__bs-sector-ue-topology-scatter-plot.png,.png,29803,5172d5f6700036c962ba0bf58f79cd21b132d3bb91127c6beb549cc0846c06db,1180,700,PNG
reports/image/contract__scenario-geometry-topology-layout__serving-cell-map.png,.png,26417,5cdc81d8ae0f87911c1196269091475f5c4a4b4861e10721a42377e454dcaf15,1180,700,PNG
reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__cqi-vs-selected-mcs.png,.png,35049,b23050cc86444454cc3781c0a683ef93246f88c3ba5a61ef155507cd36f131dc,1100,620,PNG
reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__grant-reason-distribution.png,.png,31606,bbe2043ce222a9475ecbfcfb1fa165aaa984e0428d165f535c19b6c728a8358d,1100,620,PNG
reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__hol-delay-over-time.png,.png,31455,4bee756d3c57855f568569e6d6f4dd1863a6b5b2d9182ee0926ecaa94c05c9c5,1100,620,PNG
reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__mcs-over-time.png,.png,37298,3151f9c3180c6a66816f21f279a8013113c4ad064c2ce001f3d3e13d60875055,1100,620,PNG
reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__queue-depth-over-time.png,.png,32085,d6427a358a4393059fee7259a98b400bb60562348683d56a90902cf888462cdc,1100,620,PNG
reports/image/contract__ue-side-state-ue-power-ue-control__ue-control-report-timeline.png,.png,33879,d88ac038f6dfe93c74ba4a54fdef56b4b014a9e4fc678e0bb41e1c9f03595465,1100,620,PNG
reports/image/contract__ue-side-state-ue-power-ue-control__ue-energy-proxy-timeline.png,.png,33572,93342297c5b872ddbefbf3582788750ffc69f45502516ffa2e5111634345f1f7,1100,620,PNG
rf/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png,.png,57576,95b752693410e0bf960b6a698e8582d2b03b66cacdd8ec50abe4a255489ecd7c,1180,700,PNG
rf/image/contract__impairments-tracking-analytics__timing-offset-true-vs-estimated-vs-residual.png,.png,33611,7c78af64df264b367bce6211dc0063bf7a93e69ded54df18b8ee58f27f222f36,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__baseband-power.png,.png,29691,5d32efd37cd73f251e1a87961695ccdb0215f1599ce3d8144504f067c1c168c6,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__energy-bit.png,.png,24973,899b83ceb734aac4611650ce2b5872bd88e4c379926ddc60eb906489e977d603,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__energy-efficiency-by-ue.png,.png,27257,2eb201a1cca105dc30a70da425b32b2e8da8722284bd9cce6a153558f6c49f8f,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__energy-per-bit-histogram.png,.png,23475,0c501fa139805f04403ae6fe6366ae53788b630703d526d1dc2ccb6efdfc6231,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__joules-gb.png,.png,24275,07543e3f32033147ef724923055bc2cf1ec07dc140c4ce57a2ad9f0ab18af688,1100,620,PNG
rf/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png,.png,27592,1d1f7fe957b633fbe1b0bef717e01b593557369efe944883b42a20512dc4fc6f,1100,620,PNG
rf/image/contract__power-energy-thermal-compute-runtime__efficiency-scatter-plots.png,.png,26895,1d376b36f2e6bc7424430323d66e00fadc01f569bc4249b64413dfbca9d1eec0,1100,620,PNG
rf/image/contract__power-energy-thermal-compute-runtime__energy-per-bit-over-time.png,.png,32081,2e9f66def527621a0820aaa7404c1710c292a73150c3da08d8516144f182668d,1100,620,PNG
rf/image/contract__power-energy-thermal-compute-runtime__joules-gb-over-time.png,.png,31051,09f1036807003d4e46c20fe8d64d837b3d97766e649635aec930a4186dda20ba,1100,620,PNG
rf/image/contract__power-energy-thermal-compute-runtime__power-vs-throughput.png,.png,27592,1d1f7fe957b633fbe1b0bef717e01b593557369efe944883b42a20512dc4fc6f,1100,620,PNG
rf/image/contract__power-energy-thermal-compute-runtime__sleep-state-timeline.png,.png,37884,73bc96e87f2f36cc50bdf28758871cbb23cb86699d6d277b254953f4f070d5db,1100,620,PNG
ssb/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png,.png,41570,24d96af83de4e3bc5aee8e12128510c16021e8d56c35a25a4e6f0226e3473c35,1180,700,PNG
traffic/image/contract__runtime-compute-complexity-parallelism-analytics__latency-cdf.png,.png,26464,f1fd66a0e86429c395e66c0a52d9695a7e81ebecf78a715df8a47b6f21740bfe,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput-over-time.png,.png,36194,4a8c77e5df8c9c8292d21094a40165ed50586251b72f4e780e4d3b5b43676f7f,1180,700,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__goodput.png,.png,22382,71939fe2dc9c14565c4df6aa5fa4eca4a97381ba4f92aff0d5bc20aea7cedab7,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__offered-throughput.png,.png,24290,683ee3ea323b1539f75906c5581a01e448db5cb03345d0fc034f18dbea6089d0,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__per-ue-throughput.png,.png,20819,22da08076d1e92127fd2d4929341520c266f9570b7ceb363cf2c5a85e6e1c080,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__spectral-efficiency.png,.png,24698,d56cf000fd7c0a819f5713b59161984608c67b9b8ebff41036da3b1ee7cd2811,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-over-time.png,.png,36392,b8e488026d4e1d4a2235b9bab5e988d9c7ffb6c3076d57bae65f276c7ad2fced,1180,700,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-percentile-plots.png,.png,22573,9e87f222d9f286b8538db13ea710cc49ef500a7739001c93adf0df95b9bb20c8,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-sinr.png,.png,28370,c000bfb56f79ede9cbe7d24d75706802da600659b6a16ad6b33bf87977078ba3,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-vs-snr.png,.png,29717,eeb898db0f6a5b3d98e289676ed66cb6b219ac110e694dd32b6f325c3ed6fde1,1100,620,PNG
traffic/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput.png,.png,22404,c4069304b8f3ca1fe9aaca55f9a5992904020e3929433cdbd6045a9b52ad10fe,1100,620,PNG
validation/image/contract__error-reliability-analytics__crc-pass-fail-rates.png,.png,33807,5042b7881622f78dcf5b22fdc3e80d46108218f50e14a860880e6a55f5e61c6a,1100,620,PNG
validation/image/contract__error-reliability-analytics__decoder-iteration-distributions.png,.png,22779,362f745accc932b6d9d9a18db6fcd0851a9cd22cf05fafe2473759e16ba73745,1100,620,PNG
validation/image/contract__export-consistency-truth-analytics__assumption-usage-summaries.png,.png,28389,60239ccb3d7f600ef13e546329a7490c2933dcba621dec5313231d302f5f1b7b,1100,620,PNG
validation/image/contract__export-consistency-truth-analytics__missing-field-audits.png,.png,26189,d00e8e5e62badbf4de436e741d7dbc5422bc726dbf6a30a92e0caaa0d6205f35,1100,620,PNG
validation/image/contract__export-consistency-truth-analytics__schema-drift.png,.png,25127,16b0112baebff36660f18f2631641f67722308e9c42c6650adc60cbd7b3ecf4a,1100,620,PNG
validation/image/contract__export-consistency-truth-analytics__source-row-count-vs-analytics-row-count.png,.png,32712,1eacfeb718d6f14418fdb352052c83ae758248fad27b9f83de0e8f363aa53207,1100,620,PNG
validation/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png,.png,35238,b79b0ef80b0ca70621750f9c224af03c8bdb38b0eb01079b67431749d8a34b3f,1100,620,PNG
validation/image/contract__generic-investigator-views__config-vs-measured-conflict-dashboard.png,.png,30619,ce19a3953f43f943d3d615c34ae3219ca43e0cd7638ea017253f9b5bbeb6a65c,1100,620,PNG
validation/image/contract__generic-investigator-views__partial-or-missing-data-dashboard.png,.png,28017,66948738233dab74653959284b03011e8da37eb964fc1306a09fe32cfc153ef1,1100,620,PNG
validation/image/contract__generic-investigator-views__value-semantics-coverage-chart.png,.png,28959,f850001ad9a17029e0fc4e0c025b34edabcd92b8dee551c9cd38b159c76b2e7c,1100,620,PNG
validation/image/contract__persistence-export-consistency-browser-health__consistency-failure-trend.png,.png,29940,537010d296961a70995e3344cf4cf285ec72b0c7abf6bcddca4ad0e17b1c34ed,1100,620,PNG
validation/image/contract__run-trial-scenario-overview__required-vs-failed-case-bar-chart.png,.png,27495,edf9862bceb549895d5bc3ebb57850db68c6888a1492c14d911585d1a56fbccc,1100,620,PNG
validation/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png,.png,27261,f9fa28a579eb0da83e1bab089aa5361a94e97685e6153fae3839f23943bc0595,1100,620,PNG
validation/image/contract__runtime-compute-complexity-parallelism-analytics__normalized-decoder-complexity.png,.png,28628,c7d9e8d43610e57e4641b44aa25aef7391470a3b62db71d7c04c64fd9251ad79,1100,620,PNG
validation/image/contract__ue-side-state-ue-power-ue-control__ue-control-report-timeline.png,.png,33879,d88ac038f6dfe93c74ba4a54fdef56b4b014a9e4fc678e0bb41e1c9f03595465,1100,620,PNG
validation/image/contract__ue-side-state-ue-power-ue-control__ue-energy-proxy-timeline.png,.png,33572,93342297c5b872ddbefbf3582788750ffc69f45502516ffa2e5111634345f1f7,1100,620,PNG
waveform/image/contract__constellation-evm-analytics__constellation-per-codeword.png,.png,79892,71a98178ea3e08c3f693f9a6c364dbfbc05869d4ed8c97d5034f8d2bf5fff4a8,1180,760,PNG
waveform/image/contract__constellation-evm-analytics__constellation-per-modulation-order.png,.png,62256,87eebc3c6746f97ed01833ac3febb0a086257e5dad5ebdfc394fbc382cdeccd8,1180,760,PNG
waveform/image/contract__constellation-evm-analytics__evm-per-subcarrier.png,.png,50756,a2714e24e3741f1836c7d48b3505d720aede6656e46a692e3aef9807afa1bd5b,1180,700,PNG
waveform/image/contract__constellation-evm-analytics__evm-rms.png,.png,19356,bf4ed3114b758f35e39a0661af73b977b39cbcc195a805062125f827a72549b8,1100,620,PNG
waveform/image/contract__constellation-evm-analytics__post-equalization-constellation.png,.png,81934,da079fe7c3e3cdeb64735fb6e020f6ddd62bdfee620e9a5768c2887c152b94d3,1180,760,PNG
waveform/image/contract__constellation-evm-analytics__symbol-decision-error-histogram.png,.png,25124,d40bdc25884eb15a7d5158292e9a6201e8bf8ff0f6366d2624970e717ac6205d,1100,620,PNG
waveform/image/contract__power-energy-efficiency-analytics__papr-vs-power.png,.png,27030,c4d76179c556c5cfb7ca7a3184c856d6c29ea720d28d613cf34a44e6d8a51966,1100,620,PNG
waveform/image/contract__power-energy-thermal-compute-runtime__papr-distribution.png,.png,24130,fa45c0829ce0a8724a3c4e50d0bac29d663183b7d4e9b7851970b2360ae4449d,1100,620,PNG
waveform/image/contract__spectrum-psd-papr-analytics__papr-histogram-cdf.png,.png,28005,b4334165d6d66471ea240024a18ee42f57eb4f5ced3146be7d8c2c9874f9d121,1100,620,PNG
waveform/image/contract__spectrum-psd-papr-analytics__power-spectral-comparison-before-after-impairment.png,.png,77261,70da425efb9031f7ee24f350da3aad971002a57ba9f69e380af910e6d9285372,1180,700,PNG
waveform/image/contract__spectrum-psd-papr-analytics__psd.png,.png,70960,5a79a23daa982b575f6010a80fa9e58067bef6b7236800eb4e611ede1366e10b,1180,700,PNG
waveform/image/contract__waveform-time-domain-analytics__magnitude-vs-sample.png,.png,72274,e958d8bc5fa9fb21585f5a29cd9abd308da7ec19443cd49180ebde656a150a02,1180,700,PNG
waveform/image/contract__waveform-time-domain-analytics__phase-vs-sample.png,.png,109832,b5db52a1e13dc276ac22196b2dc9c33baca0836c163ed9b98a97a61eb952c821,1180,700,PNG
waveform/image/contract__waveform-time-domain-analytics__power-vs-sample.png,.png,60682,1887621c7e49c3e0a3877c8ea98aa954a171a04dd70b4a38cf4035e59ee2f0fa,1180,700,PNG
waveform/image/contract__waveform-time-domain-analytics__rx-waveform.png,.png,100491,1293b976462c2954821e77b322f0ef6115bbfee290c4261ff6328a63ce76de7a,1180,700,PNG
waveform/image/contract__waveform-time-domain-analytics__tx-waveform.png,.png,98127,7d8a367939a26516be7c95f01ff56dc4e491c9ee6ddb31ebe92a15a6fc7e7b96,1180,700,PNG
